scheme_slug,scheme_name,question,answer
iticitda,IT Incubation Centre - Information Technology Development Agency,What kind of support does the Incubation Centre provide to startups?,"The Centre provides workspace, internet access, laboratory facilities, mentorship, networking opportunities, select medical equipment, and essential infrastructure support."
itiscbic,Indirect Tax Internship Scheme In Central Board Of Indirect Taxes And Customs (CBIC),How Many Law Students Are Selected Every Year For The Internship?,10 Law Students and 10 Law Graduates are selected as Interns every year.
itiscbic,Indirect Tax Internship Scheme In Central Board Of Indirect Taxes And Customs (CBIC),What Shall Be The Daily Routine Of The Interns?,"The interns are expected to study case files, assist in legal research and drafting of petitions, brief the counsels and extend any other related legal/general assistance to officers/counsels. The interns may also accompany the departmental officers to the briefing meetings if needed."
itpaitda,IT Policy and Amendments-2020 - Information Technology Development Agency,Who are the primary beneficiaries of this policy?,"Beneficiaries include IT and ITES companies, Internet Service Providers, Telecom Service Providers, IT-based industries, investors, startups, and local youth from Uttarakhand."
itpaitda,IT Policy and Amendments-2020 - Information Technology Development Agency,How does this policy promote investment in the IT sector?,"The policy encourages investment through beneficial schemes, subsidies, and policy incentives provided by the Industries Department of Uttarakhand."
itpp-mesifai-sa-msme,"""Innovation in Technology [Product (or) Process]"" under “Motivation of Entrepreneurs to Start Indust","Who administers the ""Innovation in Technology [Product (or) Process]"" State Award Scheme?",The scheme is administered by the Industries and Commerce Department of the Union Territory of Puducherry.
itpp-mesifai-sa-msme,"""Innovation in Technology [Product (or) Process]"" under “Motivation of Entrepreneurs to Start Indust","When was the scheme introduced, and under which policy framework?","The scheme was introduced under the New Industrial Policy 2016, which was implemented on 4th October 2016."
itsp,Scheme of Cash Incentive to Medal Winners in International Sports Events and their Coaches,What is the Cash Incentive Scheme?,It provides cash rewards to Indian sportspersons and their coaches for winning medals in international events.
itsp,Scheme of Cash Incentive to Medal Winners in International Sports Events and their Coaches,Which ministry implements this scheme?,"The scheme is implemented by the Ministry of Youth Affairs & Sports, Department of Sports, Government of India."
itswptcse,Incentives to Students who Passed the Civil Service Examination,What is the objective of the scheme?,To provide financial incentives to Scheduled Tribe candidates who clear Civil Services exams.
itswptcse,Incentives to Students who Passed the Civil Service Examination,Which exams are covered under this scheme?,The scheme covers Civil Services exams conducted by M.P. PSC and UPSC.
itsys,IT Saksham Yuva Scheme,What are the key benefits of the IT Saksham Yuva Scheme?,"The scheme provides free IT training, government-recognized certification, skill enhancement, and improved job opportunities for youth in Haryana. Eligible candidates may also receive an unemployment allowance as per the scheme guidelines."
itsys,IT Saksham Yuva Scheme,Is the scheme provided free of cost?,"The applicant will pay a nominal fee of [?] 5000/- at the time of registration, which will be fully reimbursed/refunded to the applicant's bank account upon successful passing of the course undertaken and on getting employment."
itta,IELTS & TOEFL Training Assistance,Who is eligible for this scheme?,Scheduled Tribe students from Gujarat who have passed Class 12 and plan to study abroad.
itta,IELTS & TOEFL Training Assistance,Is there any income limit?,"No, there is no income limit for this scheme."
iu-sss-ner,“Ishan Uday” Special Scholarship Scheme For North Eastern Region,What Would Be The Mode Of Payment Of The Scholarship?,The payment of the scholarship will be through DBT.
iu-sss-ner,“Ishan Uday” Special Scholarship Scheme For North Eastern Region,Do I Need To Complete The Application In One Sitting?,No. You can save the application as draft and continue at a later time before the deadline.
ivdp,Integrated Vegetable Development Program,What is the objective of this scheme?,The objective of the scheme is to increase vegetable production in all district headquarters and nearby industrial areas through integrated development.
ivdp,Integrated Vegetable Development Program,Who is eligible to apply under this scheme?,Farmers residing within 20 km of the district headquarters or industrial establishments are eligible to apply.
ivri-is,IVRI Institute Scholarship For M.V.Sc. And Ph.D.,How to get admission in Master's and Doctoral Programme,"Admission in Master degree, from All India Entrance Examination for Admission (AIEEA), All (100%) seats of the four ICAR-DUs namely, Indian Agricultural Research Institute (IARI), Indian Veterinary Research Institute (IVRI), National Dairy Research Institute (NDRI) and Central Institute of Fisheries"
ivri-is,IVRI Institute Scholarship For M.V.Sc. And Ph.D.,What documents I need to upload along with the Application Form,"Candidates need to upload scanned images of photograph, signature and thumb impression, with the Application Form."
ivs,PMMSY: Insulated Vehicles - Haryana,Who is eligible to apply?,Any fishery activity practitioner with a valid Family ID card who has not previously availed such a grant.
ivs,PMMSY: Insulated Vehicles - Haryana,What is the maximum grant provided?,"₹20,00,000 per unit (subject to subsidy percentage)."
iwes,"Incentives to Women Entrepreneurs Scheme, 2008",What were the eligibility criteria for proprietary concerns under the scheme?,Proprietary concerns were eligible if they were 100% owned by women entrepreneurs.
iwes,"Incentives to Women Entrepreneurs Scheme, 2008",Was there any condition regarding additional partners in partnership firms?,"Yes, there had to be at least one additional partner other than the husband, father, brother, or son in partnership firms."
iwp-andhra,INDIRAMMA Widow Pension (Rural),How are funds for the INDIRAMMA Widow Pension scheme allocated to districts?,"Funds are allocated district-wise by the Project Director, DRDA, based on the number of eligible widows."
iwp-andhra,INDIRAMMA Widow Pension (Rural),What is the role of the Gram Panchayat members during pension disbursement?,Gram Panchayat members are present during disbursement to ensure the process is conducted fairly and transparently.
iwp-u,INDIRAMMA Weavers Pension (Urban),What are the residency requirements for applying to the INDIRAMMA Weavers Pension (Urban) scheme?,The applicant must be a local resident of a district in Andhra Pradesh and reside in an urban area to qualify for the scheme.
iwp-u,INDIRAMMA Weavers Pension (Urban),How does the INDIRAMMA Weavers Pension (Urban) scheme define the economic status of eligible applicants?,Applicants must belong to a Below Poverty Line (BPL) family to be eligible for the pension scheme.
iwp-urban,INDIRAMMA Widow Pension (Urban),What are the residency requirements for applying to the INDIRAMMA Widow Pension (Urban) scheme?,The applicant must be a local resident of a district in Andhra Pradesh to be eligible for the pension scheme.
